2026-06-29T09:40:07.171,t= 590.6s | SHT  26.18 C  60.7% | DHT22   26.0 C  62.1% | DHT11   27.1 C  54.0% | CO 240.6826 mV ( 687.7 ppb) | NO2 -15.3320 mV (  61.3 ppb)
2026-06-29T09:40:08.551,t= 592.0s | SHT  26.17 C  60.6% | DHT22   26.0 C  62.0% | DHT11   27.1 C  54.0% | CO 240.6934 mV ( 687.7 ppb) | NO2 -12.5527 mV (  50.2 ppb)
2026-06-29T09:40:09.931,t= 593.4s | SHT  26.17 C  60.4% | DHT22   26.0 C  62.0% | DHT11   27.1 C  54.0% | CO 239.4834 mV ( 684.2 ppb) | NO2 -11.9775 mV (  47.9 ppb)
2026-06-29T09:40:11.311,t= 594.8s | SHT  26.17 C  60.4% | DHT22   26.0 C  62.0% | DHT11   27.1 C  54.0% | CO 241.1855 mV ( 689.1 ppb) | NO2 -11.3779 mV (  45.5 ppb)
2026-06-29T09:40:12.691,t= 596.2s | SHT  26.20 C  60.3% | DHT22   26.0 C  62.0% | DHT11   27.1 C  54.0% | CO 242.2021 mV ( 692.0 ppb) | NO2 -10.9434 mV (  43.8 ppb)
2026-06-29T09:40:14.071,t= 597.5s | SHT  26.18 C  60.2% | DHT22   26.0 C  61.9% | DHT11   27.1 C  54.0% | CO 240.4395 mV ( 687.0 ppb) | NO2 -11.6758 mV (  46.7 ppb)
2026-06-29T09:40:15.451,t= 598.9s | SHT  26.17 C  60.2% | DHT22   26.0 C  61.9% | DHT11   27.1 C  54.0% | CO 239.1348 mV ( 683.2 ppb) | NO2 -12.1543 mV (  48.6 ppb)
2026-06-29T09:40:16.831,t= 600.3s | SHT  26.17 C  60.1% | DHT22   26.0 C  61.8% | DHT11   27.1 C  54.0% | CO 238.9014 mV ( 682.6 ppb) | NO2 -11.9141 mV (  47.7 ppb)
2026-06-29T09:40:18.211,t= 601.7s | SHT  26.17 C  60.1% | DHT22   26.0 C  61.8% | DHT11   27.1 C  54.0% | CO 236.3203 mV ( 675.2 ppb) | NO2 -11.9531 mV (  47.8 ppb)
2026-06-29T09:40:19.591,t= 603.1s | SHT  26.18 C  60.1% | DHT22   26.0 C  61.7% | DHT11   27.1 C  54.0% | CO 235.5215 mV ( 672.9 ppb) | NO2 -11.0049 mV (  44.0 ppb)
2026-06-29T09:40:20.971,t= 604.4s | SHT  26.18 C  60.1% | DHT22   26.0 C  61.7% | DHT11   27.1 C  54.0% | CO 235.5479 mV ( 673.0 ppb) | NO2 -11.2451 mV (  45.0 ppb)
2026-06-29T09:40:22.351,t= 605.8s | SHT  26.20 C  60.1% | DHT22   26.0 C  61.7% | DHT11   27.1 C  54.0% | CO 237.1367 mV ( 677.5 ppb) | NO2 -11.7920 mV (  47.2 ppb)
2026-06-29T09:40:23.731,t= 607.2s | SHT  26.21 C  60.1% | DHT22   26.0 C  61.7% | DHT11   27.1 C  54.0% | CO 234.7607 mV ( 670.7 ppb) | NO2 -10.6943 mV (  42.8 ppb)
2026-06-29T09:40:25.110,t= 608.6s | SHT  26.17 C  60.0% | DHT22   26.0 C  61.7% | DHT11   27.1 C  54.0% | CO 237.8506 mV ( 679.6 ppb) | NO2 -11.7383 mV (  47.0 ppb)
2026-06-29T09:40:26.491,t= 610.0s | SHT  26.21 C  60.1% | DHT22   26.0 C  61.7% | DHT11   27.1 C  54.0% | CO 237.2217 mV ( 677.8 ppb) | NO2 -10.5977 mV (  42.4 ppb)
2026-06-29T09:40:27.871,t= 611.3s | SHT  26.20 C  60.0% | DHT22   26.0 C  61.7% | DHT11   27.1 C  54.0% | CO 236.2402 mV ( 675.0 ppb) | NO2 -10.6104 mV (  42.4 ppb)
2026-06-29T09:40:29.251,t= 612.7s | SHT  26.18 C  60.0% | DHT22   26.0 C  61.7% | DHT11   27.1 C  54.0% | CO 238.0059 mV ( 680.0 ppb) | NO2 -10.9736 mV (  43.9 ppb)
2026-06-29T09:40:30.631,t= 614.1s | SHT  26.17 C  60.0% | DHT22   26.0 C  61.6% | DHT11   27.1 C  54.0% | CO 235.9805 mV ( 674.2 ppb) | NO2 -10.6699 mV (  42.7 ppb)
2026-06-29T09:40:32.011,t= 615.5s | SHT  26.18 C  60.0% | DHT22   26.0 C  61.6% | DHT11   27.1 C  54.0% | CO 235.8027 mV ( 673.7 ppb) | NO2 -10.6475 mV (  42.6 ppb)
2026-06-29T09:40:33.391,t= 616.9s | SHT  26.18 C  59.9% | DHT22   26.0 C  61.6% | DHT11   27.1 C  54.0% | CO 235.4961 mV ( 672.8 ppb) | NO2 -11.2793 mV (  45.1 ppb)
2026-06-29T09:40:34.771,t= 618.2s | SHT  26.21 C  60.0% | DHT22   26.0 C  61.6% | DHT11   27.1 C  54.0% | CO 233.6309 mV ( 667.5 ppb) | NO2 -11.4336 mV (  45.7 ppb)
2026-06-29T09:40:36.151,t= 619.6s | SHT  26.20 C  59.9% | DHT22   26.0 C  61.5% | DHT11   27.1 C  54.0% | CO 232.9785 mV ( 665.7 ppb) | NO2 -10.8369 mV (  43.3 ppb)
2026-06-29T09:40:37.531,t= 621.0s | SHT  26.18 C  59.9% | DHT22   26.0 C  61.6% | DHT11   27.1 C  54.0% | CO 234.1270 mV ( 668.9 ppb) | NO2 -10.6992 mV (  42.8 ppb)
2026-06-29T09:40:38.911,t= 622.4s | SHT  26.20 C  59.9% | DHT22   26.0 C  61.6% | DHT11   27.1 C  54.0% | CO 234.3877 mV ( 669.7 ppb) | NO2 -11.0225 mV (  44.1 ppb)
2026-06-29T09:40:40.291,t= 623.8s | SHT  26.18 C  60.0% | DHT22   26.0 C  61.5% | DHT11   27.1 C  54.0% | CO 233.2266 mV ( 666.4 ppb) | NO2 -11.1035 mV (  44.4 ppb)
2026-06-29T09:40:41.671,t= 625.1s | SHT  26.18 C  59.9% | DHT22   26.0 C  61.5% | DHT11   27.1 C  54.0% | CO 232.3047 mV ( 663.7 ppb) | NO2 -10.9902 mV (  44.0 ppb)
2026-06-29T09:40:43.051,t= 626.5s | SHT  26.20 C  59.9% | DHT22   26.0 C  61.5% | DHT11   27.1 C  54.0% | CO 232.7852 mV ( 665.1 ppb) | NO2 -10.9785 mV (  43.9 ppb)
