2026-06-29T10:03:17.524,t= 222.2s | SHT  26.32 C  60.1% | DHT22   26.5 C  60.6% | DHT11   27.6 C  53.0% | CO 138.4209 mV ( 395.5 ppb) | NO2  -8.6797 mV (  34.7 ppb)
2026-06-29T10:03:18.904,t= 223.6s | SHT  26.32 C  60.1% | DHT22   26.5 C  60.6% | DHT11   27.6 C  53.0% | CO 135.7021 mV ( 387.7 ppb) | NO2  -6.7686 mV (  27.1 ppb)
2026-06-29T10:03:20.284,t= 224.9s | SHT  26.29 C  60.1% | DHT22   26.5 C  60.6% | DHT11   27.6 C  53.0% | CO 137.1064 mV ( 391.7 ppb) | NO2  -6.3516 mV (  25.4 ppb)
2026-06-29T10:03:21.663,t= 226.3s | SHT  26.31 C  60.1% | DHT22   26.5 C  60.6% | DHT11   27.6 C  53.0% | CO 136.8770 mV ( 391.1 ppb) | NO2  -5.9512 mV (  23.8 ppb)
2026-06-29T10:03:23.043,t= 227.7s | SHT  26.32 C  60.0% | DHT22   26.5 C  60.6% | DHT11   27.6 C  53.0% | CO 137.6562 mV ( 393.3 ppb) | NO2  -6.7959 mV (  27.2 ppb)
2026-06-29T10:03:24.423,t= 229.1s | SHT  26.32 C  60.0% | DHT22   26.5 C  60.7% | DHT11   27.6 C  53.0% | CO 136.5137 mV ( 390.0 ppb) | NO2  -7.8857 mV (  31.5 ppb)
2026-06-29T10:03:25.803,t= 230.5s | SHT  26.31 C  60.0% | DHT22   26.5 C  60.7% | DHT11   27.6 C  53.0% | CO 136.7676 mV ( 390.8 ppb) | NO2  -7.8340 mV (  31.3 ppb)
2026-06-29T10:03:27.183,t= 231.8s | SHT  26.31 C  60.1% | DHT22   26.5 C  60.7% | DHT11   27.6 C  53.0% | CO 137.7275 mV ( 393.5 ppb) | NO2  -8.6768 mV (  34.7 ppb)
2026-06-29T10:03:28.564,t= 233.2s | SHT  26.31 C  60.0% | DHT22   26.5 C  60.6% | DHT11   27.6 C  53.0% | CO 137.9785 mV ( 394.2 ppb) | NO2  -8.2344 mV (  32.9 ppb)
2026-06-29T10:03:29.944,t= 234.6s | SHT  26.31 C  60.0% | DHT22   26.5 C  60.6% | DHT11   27.6 C  53.0% | CO 135.9512 mV ( 388.4 ppb) | NO2  -7.5547 mV (  30.2 ppb)
2026-06-29T10:03:31.324,t= 236.0s | SHT  26.32 C  60.0% | DHT22   26.5 C  60.6% | DHT11   27.6 C  53.0% | CO 136.5723 mV ( 390.2 ppb) | NO2  -7.2822 mV (  29.1 ppb)
2026-06-29T10:03:32.703,t= 237.4s | SHT  26.32 C  60.0% | DHT22   26.4 C  60.6% | DHT11   27.6 C  53.0% | CO 136.8145 mV ( 390.9 ppb) | NO2  -6.4297 mV (  25.7 ppb)
2026-06-29T10:03:34.083,t= 238.7s | SHT  26.32 C  60.0% | DHT22   26.5 C  60.6% | DHT11   27.6 C  53.0% | CO 136.4385 mV ( 389.8 ppb) | NO2  -6.8916 mV (  27.6 ppb)
2026-06-29T10:03:35.463,t= 240.1s | SHT  26.32 C  60.2% | DHT22   26.5 C  60.6% | DHT11   27.6 C  53.0% | CO 136.3027 mV ( 389.4 ppb) | NO2  -7.5029 mV (  30.0 ppb)
2026-06-29T10:03:36.844,t= 241.5s | SHT  26.34 C  60.2% | DHT22   26.5 C  60.6% | DHT11   27.6 C  53.0% | CO 138.1055 mV ( 394.6 ppb) | NO2  -7.5381 mV (  30.2 ppb)
2026-06-29T10:03:38.223,t= 242.9s | SHT  26.32 C  60.2% | DHT22   26.5 C  60.6% | DHT11   27.6 C  53.0% | CO 137.5410 mV ( 393.0 ppb) | NO2  -9.2812 mV (  37.1 ppb)
2026-06-29T10:03:39.603,t= 244.3s | SHT  26.32 C  60.2% | DHT22   26.5 C  60.6% | DHT11   27.6 C  54.0% | CO 137.4521 mV ( 392.7 ppb) | NO2  -7.9990 mV (  32.0 ppb)
2026-06-29T10:03:40.983,t= 245.6s | SHT  26.29 C  60.2% | DHT22   26.5 C  60.6% | DHT11   27.6 C  54.0% | CO 137.0801 mV ( 391.7 ppb) | NO2  -7.2217 mV (  28.9 ppb)
2026-06-29T10:03:42.363,t= 247.0s | SHT  26.32 C  60.2% | DHT22   26.5 C  60.6% | DHT11   27.6 C  54.0% | CO 139.6182 mV ( 398.9 ppb) | NO2  -7.8193 mV (  31.3 ppb)
